# G2159042.mdx  size=116,768 B  records=1773
0x0000084e	All Terrain Control Module
0x00014145	Application Signature Validation Status
0x000143cd	session_01
0x000143d9	defaultSession
0x000144e4	session_03
0x000144f0	extendedDiagnosticSession
0x00014510	service_22_p4_max_00
0x00014683	session_02
0x0001468f	programmingSession
0x000146a8	service_22_p4_max_01
0x0001470b	nrc_13
0x00014713	incorrectMessageLengthOrInvalidFormat
0x00014751	nrc_22
0x00014759	conditionsNotCorrect
0x00014786	nrc_31
0x0001478e	requestOutOfRange
0x000147b8	nrc_33
0x000147c0	securityAccessDenied
0x000147ef	service_22
0x000147fb	ReadDataByIdentifier
0x00014891	did_d03f_subfield_1_data_def
0x000148bc	did_D03F_subfield_1
0x000148d1	In-Use Application Signing Public Key Hash
0x00014905	did_D03F
0x0001490f	In-Use Application Signing Public Key Hash
0x00014b9d	session_01
0x00014ba9	defaultSession
0x00014cb4	session_03
0x00014cc0	extendedDiagnosticSession
0x00014ce0	service_22_p4_max_00
0x00014e53	session_02
0x00014e5f	programmingSession
0x00014e78	service_22_p4_max_01
0x00014edb	nrc_13
0x00014ee3	incorrectMessageLengthOrInvalidFormat
0x00014f21	nrc_22
0x00014f29	conditionsNotCorrect
0x00014f56	nrc_31
0x00014f5e	requestOutOfRange
0x00014f88	nrc_33
0x00014f90	securityAccessDenied
0x00014fbf	service_22
0x00014fcb	ReadDataByIdentifier
0x00015066	Default Session
0x00015077	did_d100_subfield_1_data_def_enum_1
0x000150a6	Programming Session
0x000150bb	did_d100_subfield_1_data_def_enum_2
0x000150ea	Extended Diagnostic Session
0x00015107	did_d100_subfield_1_data_def_enum_3
0x00015136	Safety System Diagnostic Session
0x00015158	did_d100_subfield_1_data_def_enum_4
0x00015187	EOL Extended Diagnostic Session
0x000151a8	did_d100_subfield_1_data_def_enum_5
0x000151d8	did_d100_subfield_1_data_def_enum_6
0x00015208	did_d100_subfield_1_data_def_enum_7
0x00015238	did_d100_subfield_1_data_def_enum_8
0x00015268	did_d100_subfield_1_data_def_enum_9
0x00015298	did_d100_subfield_1_data_def_enum_10
0x000152c9	did_d100_subfield_1_data_def_enum_11
0x000152fa	did_d100_subfield_1_data_def_enum_12
0x0001532b	did_d100_subfield_1_data_def_enum_13
0x0001535c	did_d100_subfield_1_data_def_enum_14
0x0001538d	did_d100_subfield_1_data_def_enum_15
0x000153be	did_d100_subfield_1_data_def_enum_16
0x000153ef	did_d100_subfield_1_data_def_enum_17
0x00015420	did_d100_subfield_1_data_def_enum_18
0x00015451	did_d100_subfield_1_data_def_enum_19
0x00015482	did_d100_subfield_1_data_def_enum_20
0x000154b3	did_d100_subfield_1_data_def_enum_21
0x000154e4	did_d100_subfield_1_data_def_enum_22
0x00015515	did_d100_subfield_1_data_def_enum_23
0x00015546	did_d100_subfield_1_data_def_enum_24
0x00015577	did_d100_subfield_1_data_def_enum_25
0x000155a8	did_d100_subfield_1_data_def_enum_26
0x000155d9	did_d100_subfield_1_data_def_enum_27
0x0001560a	did_d100_subfield_1_data_def_enum_28
0x0001563b	did_d100_subfield_1_data_def_enum_29
0x0001566c	did_d100_subfield_1_data_def_enum_30
0x0001569d	did_d100_subfield_1_data_def_enum_31
0x000156ce	did_d100_subfield_1_data_def_enum_32
0x000156ff	did_d100_subfield_1_data_def_enum_33
0x00015730	did_d100_subfield_1_data_def_enum_34
0x00015761	did_d100_subfield_1_data_def_enum_35
0x00015792	did_d100_subfield_1_data_def_enum_36
0x000157c5	did_d100_subfield_1_data_def
0x000157f0	did_D100_subfield_1
0x00015805	Active Diagnostic Session
0x00015828	did_D100
0x00015832	Active Diagnostic Session
0x00015a9e	session_01
0x00015aaa	defaultSession
0x00015bb5	session_03
0x00015bc1	extendedDiagnosticSession
0x00015be1	service_22_p4_max_00
0x00015d54	session_02
0x00015d60	programmingSession
0x00015d79	service_22_p4_max_01
0x00015ddc	nrc_13
0x00015de4	incorrectMessageLengthOrInvalidFormat
0x00015e22	nrc_22
0x00015e2a	conditionsNotCorrect
0x00015e57	nrc_31
0x00015e5f	requestOutOfRange
0x00015e89	nrc_33
0x00015e91	securityAccessDenied
0x00015ec0	service_22
0x00015ecc	ReadDataByIdentifier
0x00015fb0	did_d111_subfield_1_data_def
0x00015fdb	did_D111_subfield_1
0x00015ff0	ECU Power Supply Voltage
0x000160e3	did_D111
0x000160ed	ECU Power Supply Voltage
0x00016357	session_01
0x00016363	defaultSession
0x0001646e	session_03
0x0001647a	extendedDiagnosticSession
0x0001649a	service_22_p4_max_00
0x0001660d	session_02
0x00016619	programmingSession
0x00016632	service_22_p4_max_01
0x00016695	nrc_13
0x0001669d	incorrectMessageLengthOrInvalidFormat
0x000166db	nrc_22
0x000166e3	conditionsNotCorrect
0x00016710	nrc_31
0x00016718	requestOutOfRange
0x00016742	nrc_33
0x0001674a	securityAccessDenied
0x00016779	service_22
0x00016785	ReadDataByIdentifier
0x0001684a	did_f110_subfield_1_data_def
0x00016875	did_F110_subfield_1
0x0001688a	Subsystem Specific Diagnostic Specification Part Number
0x000168ca	This DID is used to report the ECU's Part 2 Spec WERS Part Number (e.g., DS-1234-ABCD-AA).
0x00016926	did_F110
0x00016930	Subsystem Specific Diagnostic Specification Part Number
0x00016bd8	session_01
0x00016be4	defaultSession
0x00016cef	session_03
0x00016cfb	extendedDiagnosticSession
0x00016d1b	service_22_p4_max_00
0x00016e8e	session_02
0x00016e9a	programmingSession
0x00016eb3	service_22_p4_max_01
0x00016f16	nrc_13
0x00016f1e	incorrectMessageLengthOrInvalidFormat
0x00016f5c	nrc_22
0x00016f64	conditionsNotCorrect
0x00016f91	nrc_31
0x00016f99	requestOutOfRange
0x00016fc3	nrc_33
0x00016fcb	securityAccessDenied
0x00016ffa	service_22
0x00017006	ReadDataByIdentifier
0x000170cf	did_f111_subfield_1_data_def
0x000170fa	did_F111_subfield_1
0x0001710f	ECU Core Assembly Number
0x00017131	did_F111
0x0001713b	ECU Core Assembly Number
0x000173a5	session_01
0x000173b1	defaultSession
0x000174bc	session_03
0x000174c8	extendedDiagnosticSession
0x000174e8	service_22_p4_max_00
0x0001765b	session_02
0x00017667	programmingSession
0x00017680	service_22_p4_max_01
0x000176e3	nrc_13
0x000176eb	incorrectMessageLengthOrInvalidFormat
0x00017729	nrc_22
0x00017731	conditionsNotCorrect
0x0001775e	nrc_31
0x00017766	requestOutOfRange
0x00017790	nrc_33
0x00017798	securityAccessDenied
0x000177c7	service_22
0x000177d3	ReadDataByIdentifier
0x0001789c	did_f113_subfield_1_data_def
0x000178c7	did_F113_subfield_1
0x000178dc	ECU Delivery Assembly Number
0x00017902	did_F113
0x0001790c	ECU Delivery Assembly Number
0x00017b7e	session_01
0x00017b8a	defaultSession
0x00017c95	session_03
0x00017ca1	extendedDiagnosticSession
0x00017cc1	service_22_p4_max_00
0x00017e34	session_02
0x00017e40	programmingSession
0x00017e59	service_22_p4_max_01
0x00017ebc	nrc_13
0x00017ec4	incorrectMessageLengthOrInvalidFormat
0x00017f02	nrc_22
0x00017f0a	conditionsNotCorrect
0x00017f37	nrc_31
0x00017f3f	requestOutOfRange
0x00017f69	nrc_33
0x00017f71	securityAccessDenied
0x00017fa0	service_22
0x00017fac	ReadDataByIdentifier
0x00018043	Vector
0x0001804b	did_f15f_subfield_1_data_def_enum_1
0x0001807d	did_f15f_subfield_1_data_def
0x000180a8	did_F15F_subfield_1
0x000180bd	NOS Generation Tool Supplier
0x000180f9	did_f15f_subfield_2_data_def
0x00018124	did_F15F_subfield_2
0x00018139	NOS Generation Tool Version Number
0x00018165	did_F15F
0x0001816f	NOS Generation Tool Version Number
0x000183ed	session_01
0x000183f9	defaultSession
0x00018504	session_03
0x00018510	extendedDiagnosticSession
0x00018530	service_22_p4_max_00
0x000186a3	session_02
0x000186af	programmingSession
0x000186c8	service_22_p4_max_01
0x0001872b	nrc_13
0x00018733	incorrectMessageLengthOrInvalidFormat
0x00018771	nrc_22
0x00018779	conditionsNotCorrect
0x000187a6	nrc_31
0x000187ae	requestOutOfRange
0x000187d8	nrc_33
0x000187e0	securityAccessDenied
0x0001880f	service_22
0x0001881b	ReadDataByIdentifier
0x000188b0	SWDL 31808456 Issue P01
0x000188c9	did_f162_subfield_1_data_def_enum_1
0x000188f8	SWDL 31808456 Issue 001
0x00018911	did_f162_subfield_1_data_def_enum_2
0x00018940	SWDL 31808456 Issue 002
0x00018959	did_f162_subfield_1_data_def_enum_3
0x00018988	SWDL 31808456 Issue 003
0x000189a1	did_f162_subfield_1_data_def_enum_4
0x000189d0	SWDL 31808456 Issue 004
0x000189e9	did_f162_subfield_1_data_def_enum_5
0x00018a18	SWDL 31808456 Issue 005
0x00018a31	did_f162_subfield_1_data_def_enum_6
0x00018a60	SWDL 00.06.15.002-006
0x00018a77	did_f162_subfield_1_data_def_enum_7
0x00018aa6	SWDL 00.06.15.002-007
0x00018abd	did_f162_subfield_1_data_def_enum_8
0x00018aef	did_f162_subfield_1_data_def
0x00018b1a	did_F162_subfield_1
0x00018b2f	Software Download Specification Version
0x00018b60	did_F162
0x00018b6a	Software Download Specification Version
0x00018df2	session_01
0x00018dfe	defaultSession
0x00018f09	session_03
0x00018f15	extendedDiagnosticSession
0x00018f35	service_22_p4_max_00
0x000190a8	session_02
0x000190b4	programmingSession
0x000190cd	service_22_p4_max_01
0x00019130	nrc_13
0x00019138	incorrectMessageLengthOrInvalidFormat
0x00019176	nrc_22
0x0001917e	conditionsNotCorrect
0x000191ab	nrc_31
0x000191b3	requestOutOfRange
0x000191dd	nrc_33
0x000191e5	securityAccessDenied
0x00019214	service_22
0x00019220	ReadDataByIdentifier
0x000192b7	GGDS 31810161 Issue 001
0x000192d0	did_f163_subfield_1_data_def_enum_1
0x000192ff	GGDS 31810161 Issue 002
0x00019318	did_f163_subfield_1_data_def_enum_2
0x00019347	GGDS 31810161 Issue 003
0x00019360	did_f163_subfield_1_data_def_enum_3
0x0001938f	GGDS 00.06.15.001-004
0x000193a6	did_f163_subfield_1_data_def_enum_4
0x000193d5	GGDS 00.06.15.001-005
0x000193ec	did_f163_subfield_1_data_def_enum_5
0x0001941e	did_f163_subfield_1_data_def
0x00019449	did_F163_subfield_1
0x0001945e	Diagnostic Specification Version
0x00019488	did_F163
0x00019492	Diagnostic Specification Version
0x0001970c	session_01
0x00019718	defaultSession
0x00019823	session_03
0x0001982f	extendedDiagnosticSession
0x0001984f	service_22_p4_max_00
0x000199c2	session_02
0x000199ce	programmingSession
0x000199e7	service_22_p4_max_01
0x00019a4a	nrc_13
0x00019a52	incorrectMessageLengthOrInvalidFormat
0x00019a90	nrc_22
0x00019a98	conditionsNotCorrect
0x00019ac5	nrc_31
0x00019acd	requestOutOfRange
0x00019af7	nrc_33
0x00019aff	securityAccessDenied
0x00019b2e	service_22
0x00019b3a	ReadDataByIdentifier
0x00019bfd	did_f166_subfield_1_data_def
0x00019c28	did_F166_subfield_1
0x00019c3d	Year
0x00019c6e	did_f166_subfield_2_data_def
0x00019c99	did_F166_subfield_2
0x00019cae	Month
0x00019ce0	did_f166_subfield_3_data_def
0x00019d0b	did_F166_subfield_3
0x00019d20	Day
0x00019d50	did_f166_subfield_4_data_def
0x00019d7b	did_F166_subfield_4
0x00019d90	Release Version
0x00019da9	did_F166
0x00019db3	NOS Message Database #1 Version Number
0x0001a039	session_01
0x0001a045	defaultSession
0x0001a150	session_03
0x0001a15c	extendedDiagnosticSession
0x0001a17c	service_22_p4_max_00
0x0001a2ef	session_02
0x0001a2fb	programmingSession
0x0001a314	service_22_p4_max_01
0x0001a377	nrc_13
0x0001a37f	incorrectMessageLengthOrInvalidFormat
0x0001a3bd	nrc_22
0x0001a3c5	conditionsNotCorrect
0x0001a3f2	nrc_31
0x0001a3fa	requestOutOfRange
0x0001a424	nrc_33
0x0001a42c	securityAccessDenied
0x0001a45b	service_22
0x0001a467	ReadDataByIdentifier
0x0001a4fc	Vector
0x0001a504	did_f17c_subfield_1_data_def_enum_1
0x0001a536	did_f17c_subfield_1_data_def
0x0001a561	did_F17C_subfield_1
0x0001a576	NOS Bootloader Generation Tool Supplier
0x0001a5bd	did_f17c_subfield_2_data_def
0x0001a5e8	did_F17C_subfield_2
0x0001a5fd	NOS Bootloader Generation Tool Version Number
0x0001a634	did_F17C
0x0001a63e	NOS Bootloader Generation Tool Version Number
0x0001a8d2	session_01
0x0001a8de	defaultSession
0x0001a9e9	session_03
0x0001a9f5	extendedDiagnosticSession
0x0001aa15	service_22_p4_max_00
0x0001ab88	session_02
0x0001ab94	programmingSession
0x0001abad	service_22_p4_max_01
0x0001ac10	nrc_13
0x0001ac18	incorrectMessageLengthOrInvalidFormat
0x0001ac56	nrc_22
0x0001ac5e	conditionsNotCorrect
0x0001ac8b	nrc_31
0x0001ac93	requestOutOfRange
0x0001acbd	nrc_33
0x0001acc5	securityAccessDenied
0x0001acf4	service_22
0x0001ad00	ReadDataByIdentifier
0x0001ade6	did_f180_subfield_1_data_def
0x0001ae11	did_F180_subfield_1
0x0001ae26	Number Of Modules (ISO14229 compatibility - always set to 01h)
0x0001aeb9	did_f180_subfield_2_data_def
0x0001aee4	did_F180_subfield_2
0x0001aef9	Boot Software Identifcation Data (Part no. of the bootloader)
0x0001af40	did_F180
0x0001af4a	Boot Software Identification
0x0001b1bc	session_01
0x0001b1c8	defaultSession
0x0001b2d3	session_03
0x0001b2df	extendedDiagnosticSession
0x0001b2ff	service_22_p4_max_00
0x0001b472	session_02
0x0001b47e	programmingSession
0x0001b497	service_22_p4_max_01
0x0001b4fa	nrc_13
0x0001b502	incorrectMessageLengthOrInvalidFormat
0x0001b540	nrc_22
0x0001b548	conditionsNotCorrect
0x0001b575	nrc_31
0x0001b57d	requestOutOfRange
0x0001b5a7	nrc_33
0x0001b5af	securityAccessDenied
0x0001b5de	service_22
0x0001b5ea	ReadDataByIdentifier
0x0001b6af	did_f188_subfield_1_data_def
0x0001b6da	did_F188_subfield_1
0x0001b6ef	Vehicle Manufacturer ECU Software Number
0x0001b721	did_F188
0x0001b72b	Vehicle Manufacturer ECU Software Number
0x0001b9b5	session_01
0x0001b9c1	defaultSession
0x0001bacc	session_03
0x0001bad8	extendedDiagnosticSession
0x0001baf8	service_22_p4_max_00
0x0001bc6b	session_02
0x0001bc77	programmingSession
0x0001bc90	service_22_p4_max_01
0x0001bcf3	nrc_13
0x0001bcfb	incorrectMessageLengthOrInvalidFormat
0x0001bd39	nrc_22
0x0001bd41	conditionsNotCorrect
0x0001bd6e	nrc_31
0x0001bd76	requestOutOfRange
0x0001bda0	nrc_33
0x0001bda8	securityAccessDenied
0x0001bdd7	service_22
0x0001bde3	ReadDataByIdentifier
0x0001beaa	did_f18c_subfield_1_data_def
0x0001bed5	did_F18C_subfield_1
0x0001beea	ECU Serial Number
0x0001bf05	did_F18C
0x0001bf0f	ECU Serial Number
